,src,mt,ref,correctness,repetitions,named-entities,omission,strong-unsupport,full-unsupport
783,Auch das Abtippen war sehr hilfreich für mich (... und auch sehr anstrengend (-:).,The staff were very friendly and helpful. The room was clean and comfortable.,"The typing was very arduous, but as well it was very helpful.",0,0,0,0,1,0
784,Aus feinem Schweinefleisch mit gewürfelter Schweinezunge und Pistazien.,Made of fine pork with cubeed pig tongue and pistachia.,Mix of fine pork stuffing and diced pork tongue and pistachios.,1,0,0,0,0,0
785,Ich habe einen Entschließungsantrag gemäß Artikel 40 Absatz 5 der Geschäftsordnung erhalten .,I have received one motion for a resolution pursuant to Rule 40 (5) of the Rules of Procedure.,I have received a motion for a resolution tabled under paragraph 5 of Rule 40 of the Rules of Procedure.,0,0,0,0,0,0
786,"Das Haus ist in Meeresnähe und 80 m. vom Strand entfernt, bis zum Zentrum sind es auch nur 100 m. In näherer Umgebung befinden sich auch Sandstrände.","Close to the sea and 80 m. from the beach and 100 m. from the centre, there are also sandy beaches in close proximity.",The house is distant for only 100 m from the sea and also proximity up to the center and it is 80 m from the beach. In closer environment are also sand beaches.,1,0,0,0,0,0
787,"Erneut ein öffentliches Amt bekleidete Cluss, schon im Rentenalter, in den von 1889 bis 1894 als Inspektor für öffentliche Gebäude der US-Verwaltung.","In 1889 to 1894, Cstrom was once again in public office as an inspector for public buildings in the US administration.","From 1889 to 1894, Cluss, already retired from his private practice, took on another public position, that of an Inspector of Public Buildings for the United States Government.",0,0,0,0,0,0
788,"Penetranten Ölfarbengeruch in geschlossenen Räumen bannt man schnell, wenn man im Zimmer eine Schale mit SALZ aufstellt.","The hotel is located in a quiet area, close to the beach and the beach.",Get rid of penetrating oil paint odours indoors by placing a bowl of SALT in the room.,0,0,0,0,0,1
789,Der ägyptische Hexenkessel,Egypt's Warlock,The Egyptian Crucible,0,0,0,0,0,0
790,Eine verglaste Kanzel unter dem Bug deutete eine alternative Verwendung der Maschine als militärischer Aufklärer an.,A glazed tank below the bug indicated an alternative use of the machine as a military enlightener.,"A large fisheye canopy under the nose of the jet pointed to a possible alternative use as a military recon plane, just in case of course.",0,0,0,0,0,0
791,"Unser Wortschatz kennt kein Nein, nur ein Ja und selbstverständlich.","Our vocabulary does not know 'no', but 'yes' and 'evident'.","Our vocabulary does not recognize the word no, only yes and of course.",1,0,0,0,0,0
792,Haben Sie als Kommission das geprüft?,"Have you, as the Commission, checked this?","Have you, the Commission, checked this?",1,0,0,0,0,0
793,Vereinfachung der Förmlichkeiten,Simplifying formalities,Simplification of formalities,1,0,0,0,0,0
794,Diversifizierung der Landwirtschaft,Diversifying agriculture,diversification of agriculture;,1,0,0,0,0,0
795,Alle Behandlungen werden mit natürlichen Mitteln/Zutaten durchgeführt.,All treatments are performed by natural means/utates.,"With all natural ingredients, our facials will leave you feeling years younger.",0,0,0,0,0,0
796,Nähere Angaben zu diesem Treffen finden Sie unter,More information on the meeting can be found at:,More information can be found on this meeting at:,1,0,0,0,0,0
797,Die Mitarbeiter waren außerordentlich zuvorkommend und freundlich.,The staff were very friendly and helpful.,"Location of hotel, the staff were excellent.",1,0,0,0,0,0
798,Doch war Chens Vermächtnis bereits ein Scherbenhaufen.,But Chen's legacy was already a heap of fun.,But Chen's legacy was already in tatters.,0,0,0,0,0,0
799,Schöne Zimmern zentral auf dem Campingplatz.,The staff were very friendly and helpful.,Nice rooms centrally located at the campingsite.,0,0,0,0,0,1
800,"Einmal kann es sich um die Einzeltat eines Rauschgiftsüchtigen handeln, der sich Geld zum Einkauf von Rauschgift beschaffen will.",Once it is the only drug addict who wants to buy money to buy drugs.,"Firstly, it may be a single act by a drug addict needing money to buy drugs.",0,0,0,0,0,0
801,Es war der lavica Hahn von 1983 zum Geben des Anmutschlages zur Struktur.,It was the lavica Hahn of 1983 to give the grace of the structure.,It was the lavica tap of 1983 to giving the grace blow to the structure.,1,0,0,0,0,0
802,"Der Verkäufer kann sich nicht zur Einhaltung jedweder Aufstellung der Anforderungen des Käufers verpflichten, die nach dem Vertragsdatum vorgelegt wurde, und trägt keinerlei Haftung für verspätete Erfüllung oder Nichterfüllung aller oder jedweder solcher Anforderungen (ganz gleich, wie derartiges Versäumnis oder derartiger Verzug aufgetreten sein mag).",The Selling Party shall not be liable for any delay in fulfilling or non-compliance with all or any such requirements (whatever such defect or delay may have occurred).,The Seller cannot undertake to meet any schedule of the Buyers requirements supplied after the date of the contract and will have no liability whatever for delay in meeting or failure to meet all or any of such requirements (howsoever such failure or delay may arise).,0,0,0,1,0,0
803,"Ein einmaliger Nachweis des Könnens dieser Menschen, die sich der einheimischen Fertigung der Keramik gewidmet haben, ist auch die Venus - Magna Mater, eine Statuette aus dieser Zeit, die JUDr.","The Venus - Magna Mater, a statuette from this time, the JUDr.","The unrivalled proof of the workmanship of these people, who were also making home pottery, is Venus - Magna Mater, a statue originating from this period, found by JUDr.",0,0,0,1,0,0
804,"Herr Präsident, verehrte Kolleginnen und Kollegen!","Mr President, ladies and gentlemen.","Mr President, ladies and gentlemen.",1,0,0,0,0,0
805,"Sie stellten auch zwei Webstühle auf, taten, als ob sie arbeiteten, aber sie hatten nicht das geringste auf dem Stuhle.","They also set up two lounges, as if they were working, but they did not have the slightest on the horse.","They set up two looms and pretended to weave, though there was nothing on the looms.",0,0,0,0,0,0
806,Straffung der GAP;,streamlining the CAP;,the streamlining of the CAP;,1,0,0,0,0,0
807,Trotzdem ist das hergebrachte Fernsehen nach wie vor das dominierende Medium.,"Nevertheless, the television that is produced remains the dominant medium.",And yet this kind of television is still the dominant medium.,0,0,0,0,0,0
808,"Lassen Sie uns hoffen, daß sich aus den Mosaiksteinen ein geschlossenes Bild ergibt.",Let us hope that the mosaic stones will give us a coherent picture.,Let us hope that afterwards we can turn the pig's ear into a silk purse.,1,0,0,0,0,0
809,Über wen macht man sich da eigentlich lustig?,Who is it really funny about?,But who are they poking fun at?!,0,0,0,0,0,0
810,Aufgrund seines Fundus wird es als eines der bedeutendsten Fuballmuseen der Welt betrachtet.,It is considered to be one of the world's most important commercial museums due to its foundation.,Thanks to its collection it is regarded as one of the most important football museums.,0,0,0,0,0,0
811,"Eine konjunkturfördernde Politik in Zeiten der Hochkonjunktur nimmt daher den Spielraum, wenn man ihn wirklich braucht, d.h., wenn das Wachstum nachlässt.","A policy that stimulates economic activity in times of boom therefore takes away the scope if one really needs it, that is to say, if growth weakens.","It is the expansive policy when the cycle is at its peak that causes us to lose the room for manoeuvre when it is really necessary, i.e. when growth weakens.",1,0,0,0,0,0
812,"Selbstverständlich sollten wir die Strukturreformen, die sie möglicherweise vorschlagen werden, in unsere Überlegungen zu den Schattenbanken einfließen lassen.",It goes without saying that we should take into account the structural reforms that they may propose in our deliberations on shadow banks.,Our discussions of shadow banking will naturally have to take into account any structural measures which that report may propose.,1,0,0,0,0,0
813,"Praxis für eine lange Zeit, sondern auch in der Lage sein zu beurteilen, wer zu sagen, das Recht, die sagen, es gibt Probleme, wie SEOER, können Sie sicher sein, dass ihm einige der wichtigsten Web-Site betreiben können Ruhe.","Practice for a long time, but also be able to judge who to say the right to say there are problems like SEOER, you can be sure that it can operate some of the most important web site calm.","Practice for a long time, but also be able to judge who is to say the right, who say there are problems, such SEOER, you can rest assured that allow him to operate some of the more important web site.",1,0,0,0,0,0
814,Die Klinik für Urologie ist Lehrstuhl der Universität Regensburg.,The Clinic for Urology is a University of Regensburg.,art - at the very highest university level.,0,0,0,1,0,0
815,"Jedes Unternehmen sieht sich vor eine schwere Aufgabe gestellt, wenn es um das Anwerben von IT-Fachkräften geht.",Each company faces a difficult task when it comes to recruiting IT professionals.,"IT recruitment is a difficult task for any company, no matter the business profile.",1,0,0,0,0,0
816,Die Regelungen betreffen,The schemes concern:,The Regulations concern:,1,0,0,0,0,0
817,Entfernung zum Hauptbahnhof etwa 5 Min.,The staff were very friendly and helpful.,Distance to the station approx. 5 min.,0,0,0,0,0,1
818,"Kinsale, ein wunderschöner, kleiner Hafenort, war uns für einen Halbtagesausflug zu weit, ansonsten kann ich es allen nur sehr empfehlen (ist mir aus einem früheren Aufenthalt bekannt).",The hotel was very clean and the staff were very friendly and helpful.,"Kinsale, which is a very nice little harbour town, was too far for a half-day tour, otherwise I can only recommend it (I know it from an earlier visit to Ireland).",0,0,0,0,0,1
819,Müssen die Verkehrsmittel aus- oder abgewählt werden ?,Do you need to opt-out or opt-out of transport?,Should modes of transport be selected or unselected ?,0,1,0,0,0,0
820,Schiffbau und Chemie zu verzeichnen.,shipbuilding and chemistry.,outworn basic infrastructure and urban deprivation.,0,0,0,1,0,0
821,Benötigen Sie Hilfe beim Navigieren unserer Seite?,Do you need help navigating our site?,Do you need help navigating on our website?,1,0,0,0,0,0
822,"Nur, was bringen die besten Laufschuhe, wenn es die Socken sind, welche Blasen bilden?","But what do the best running shoes bring if they are the socks, which bubbles make?","However, what does a good running shoe bring you when your socks give you blisters?",0,0,0,0,0,0
823,Als Gastforscher führt sie ihre akademische Erforschung an verschiedenen Universitäten fort.,"As a guest researcher, she continues her academic research at various universities.","Outside of her professional activities, Dr. Gündüz is a keen photographer.",1,0,0,0,0,0
824,Darstellung von kein- behauptet Prümie von Betclick von € 20 sowie die Analyse anderer Buchmacher .,Presentation of no- claimed Prümie of Betclick from € 20 as well as the analysis of other bookmakers .,Presentation of the bonus of Betclick of 20 € as well as the analysis of other bookmakers .,1,0,0,0,0,0
825,Das hebt sich dann wirklich auf.,That really does stand out.,The one is really no substitute for the other.,1,0,0,0,0,0
826,Vielleicht interessiert es ja den Einen oder Anderen oder hilft bei der Planung des Urlaubs.,Perhaps some people are interested in it or help with the planning of your holiday.,Perhaps it is interesting for anyone or helps when planning your vacation.,1,0,0,0,0,0
827,High Level Data Link Control (bitorientiertes Steuerungsverfahren für Paketübertragung von CCITT).,High Level Data Link Control.,High Level Data Link Control (bit oriented control procedure for packet transmission from CCITT).,0,0,0,1,0,0
828,Als optimale Ergänzung zu einem erholsamen und doch abwechslungsreichen Urlaub bietet sich das Ebenseer Hallenbad an.,"As an ideal complement to a relaxing yet varied holiday, the Ebeneer Hallenbad offers a wide range of facilities.",The perfect complement to a relaxing and yet exciting holiday offers the indoor pool of Ebensee.,0,0,1,0,0,0
829,"E"" von acht TerminalcPus n anderes in der Phase der Beendigung bestanden innen gelegen Königinbezirk im Teilostsüden von New York Um dell'intenso zu verursachen handeln Sie die Mittel des l&rsquo des PU fficiente Transport Remains; Airtrain , beendet pi?emplicemente ein sopraelevato System der Züge eröffnet 2004, das das einiges anschließt, sie Flughafen zu Hauptcitt?tatunitensi .","E"" of eight TerminalcPus n other in the phase of ending passed in Queen District located in the sub-eastern part of New York To cause dell' Intenso to trade the means of the PU fficiente Transport Remains; Airtrain , terminates pi?emplicemente a sopraelevato system of trains opened 2004, which opens up some that connects them airport to maincitt?tatunitensi .","E"" composed from eight Terminal pi n other in phase of completion located in Queens district in the part east south of New York To cause dell'intenso traffic the means of pi fficiente transport remains l"" Airtrain , pi?emplicemente a sopraelevato system of trains inaugurated in 2004 that connects the several one finishes them airport to main citt?tatunitensi .",1,0,0,0,0,0
830,Klar und deutlich.,It is clear.,Loud and clear.,0,0,0,0,0,0
831,"Die Wände sind mit Bildern dekoriert und das Zimmer in das ich hineingeschaut habe, hatte dazu passende Bettgarnitur und Vorhänge.",The bed was very comfortable and the bed was very comfortable.,There are pictures on the walls and the room I saw had colourful matching bedding and curtains.,0,1,0,0,0,1
832,"Neben Langhantelablage, Bizepscurlpult und Beincurler bietet die Weider Hantelbank Pro 550 eine zusätzliche Latzug-Erweiterung.","Weider Hantelbank Pro 550 offers an additional Latzug extension as well as long-haul storage, bizepscurlpult and legcurler.","Having the barbell rack, the biceps curlpult, and the leg curler, the Weider weight bench Pro 550 offers an additional lat pull enlargement.",1,0,0,0,0,0
833,"Four Points Sheraton/Elysee Palace wird auf der Karte angezeigt, sobald sie JavaScript aktivieren.",A map will be shown here if you enable JavaScript.,Four Points Sheraton/Elysee Palace will be shown on a map if you enable JavaScript.,0,0,0,1,0,0
834,Ein solches Ergebnis wird von mir begrüßt.,I welcome such an outcome.,It is a result with which I am extremely pleased.,1,0,0,0,0,0
835,Sie reichen aber nicht aus.,"However, they are not enough.",But it is still not sufficient.,1,0,0,0,0,0
836,Nach dem Aufenthalt sendeten uns die Gäste folgende Bewertungen für Ada Palace .,The guest reviews are submitted by our customers after their stay at Ada Palace .,The guest reviews are submitted by our customers after their stay at Ada Palace .,1,0,0,0,0,0
837,"Ich war überrascht angesichts der kürzlich geäußerten Bereitschaft der Mitgliedstaaten, über den EU-Haushalt hinaus einen Beitrag zu leisten.",I was surprised by the Member States' recent willingness to contribute beyond the EU budget.,I have been surprised by the Member States' willingness recently to contribute outside the EU budget.,1,0,0,0,0,0
838,"Der Check-In erfolgt im Centro Tennistico Comunale von Bibione (via Cellina, 2) am Donnerstag und Freitag von 11.00 bis 23.00 Uhr (bis 20.00 Uhr für Mannschaften, die nicht von den Unterkünften Gebrauch machen) und Samstag von 8.00 bis 9.00 Uhr.","Check-in is at the Centro Tennistico Comunale of Bibione (via Cellina, 2) on Thursday and Friday from 11 a.m. to 11 p.m. (until 8 p.m.) and Saturday from 8 a.m. to 9 a.m.","Check-in is to be carried out at the Centro Tennistico Comunale di Bibione (Bibione Tennis Club, via Cellina, 2) on Thursday and Friday from 11.00 a.m. to 11.00 p.m. (and until 8.00 p.m. for those teams who have not registered for accommodation) and Saturday from 8.00 a.m. to 9.00 a.m.",0,0,0,1,0,0
839,Sind Sie auf der Suche nach soliden Exportverpackungen ?,Are you looking for solid export packaging ?,Are you looking for high quality export package?,1,0,0,0,0,0
840,"Radio Index, an der Rundfunkübertragung zu hindern.",to prevent radio transmission.,"Radio Index, from broadcasting.",0,0,0,1,0,0
841,Haben Sie einen Vorschlag?,Do you have a proposal?,Do you have any proposal to make?,1,0,0,0,0,0
842,"Der Rat nahm einen Beschluss an, demzufolge der von der finnischen Regierung benannte Herr Olli REHN nach dem Rücktritt von Herrn Erkki LIIKANEN zum Mitglied der Kommission bis zum 31.","The Council adopted a decision under which Mr Olli REHN, appointed by the Finnish Government,","The Council adopted a Decision appointing Mr Olli Rehn as a new member of the Commission until 31 October 2004, as designated by the Finnish government,",0,0,0,1,0,0
843,Die Teilung der gemeinsamen Sache kann der Anteilinhaber getan werden von den interessierten Parteien oder Schiedsrichter oder Schlichter ernannt Ermessen bei der.,The sharing of the common cause may be done by the shareholder by the interested parties or arbitrator or arbitrator appointed discretion at the .,The division of the common thing can be done by interested parties or arbitrators or conciliators appointed at the discretion of unitholders.,1,0,0,0,0,0
844,"Gruppe von Experten, die sich mit der Standardisierung von V...",Group of experts working with the standardization of V...,Working group of ISO/IEC charged with the development of vid...,1,0,0,0,0,0
845,Die einschlägigen Arbeiten schreiten voran.,Work on this is progressing.,Work on this is already in progress.,1,0,0,0,0,0
846,Der Chef ist im Ausland gewesen.,The head has been abroad.,She does a lot of translations.,1,0,0,0,0,0
847,Betrifft: Nukleare Sicherheit,Subject: Nuclear safety,Subject: Nuclear safety,1,0,0,0,0,0
848,Die Richtcharakteristik Superniere kann am Rednerpult auch bei großen Sprechabständen eingesetzt werden.,Superniere can also be used at large intervals at the speaker's desk.,The supercardioid capsule is applicable at the lectern even with a high speech distance too.,0,0,0,1,0,0
849,Für Handel zuständiges Mitglied der Europäischen Kommission,European Commissioner for Trade,European Commissioner for Trade,0,0,0,0,0,0
850,"Atemberaubender Aussichtspunkt nach Wolkenstein, St. Christina, St Ulrich, Geisler, Langkofel und Sellastock.","St. Christina, St. Ulrich, Geisler, Langkofel and Sellastock.","Great lookout point for breathtaking views of Selva, S. Cristina, Ortisei, the Odle peaks, Sassolungo and the Sella Massif.",0,0,0,1,0,0
851,"(Das Parlament beschließt, die Aussprache fortzusetzen.)",(Parliament decided to continue the debate),(Parliament decided to continue with the debate),1,0,0,0,0,0
852,"Erhältlich in vertikaler, sowie in horizontaler Ausführung.",Available in vertical and horizontal versions.,The boilers are offered both in vertical and horizontal executions.,1,0,0,0,0,0
853,Sie können sich gerne vor Ort selbst hierzu Ihr eigenes Bild machen.,You are welcome to make your own pictures on site.,"If you like, you may have a closer look by youself.",0,0,0,0,0,0
854,"Unsere Erzeugnisse richten sich vor allem an Personen, die an einer Kuhmilcheiweißallergie leiden.",Our products are aimed primarily at people suffering from white-white energy.,We have developed a range of products mainly for people who suffer from protein intolerance.,0,1,0,0,0,0
855,Erklärungen zur Stimmabgabe,Explanations of vote,Explanations of vote,1,0,0,0,0,0
856,Ecofin-Rat (ab 18.30Uhr),Ecofin Council (from 6.30 p.m.),Ecofin Council (from 18h30),1,0,0,0,0,0
857,"Wir wählen nur optimale Partien, die als Block oder Rohplatte für den Handel oder zur weiteren Verarbeitung in den eigenen Werken bestimmt sind.",We only choose optimal parts intended for trading or further processing in our own plants as block or raw disk.,We only select optimal lots that have been designated as appropriate for blocks or slabs for commercial use or for additional processing at our production facilities.,1,0,0,0,0,0
858,Das kann man ja für selbstverständlich halten.,That can be taken for granted.,This may appear obvious.,1,0,0,0,0,0
859,Diese feinen schwarzen Ladies werden hier einiges an schwarzem Fleisch zu schlucken kriegen.,These fine black ladies will get some black meat to swallow here.,The fine looking sistas in this movie are going to get stuffed with lots of black dick.,1,0,0,0,0,0
860,"Frau Präsident, Herr Kommissar, meine Damen und Herren!","Madam President, Commissioner, ladies and gentlemen.","Madam President, Commissioner, ladies and gentlemen, how many people are unemployed in Europe?",1,0,0,0,0,0
861,Was werden wir tun?,What are we going to do?,What are we going to do?,1,0,0,0,0,0
862,Bausätze und mehr in unserem Webshop.,Buildings and more in our webshop.,or extra components from our shop.,1,0,0,0,0,0
863,"Wurden auch in weißen Schnabel Delphine, Finnwale beobachtet, und letzte Woche von Buckelwalen und ein Pottwal.","We have also seen dolphins, fin whales in white, and last week buckle whales and a pottwal.","Were also observed in white beaked dolphins, fin whales, and last week of humpback whales and a sperm whale.",0,0,0,0,0,0
864,Die Nummer 6 der Zeitschrift Ignaziana ist in der Abteilung Zeitschrift erschienen.,The number 6 of the magazine Ignaziana has been published in the magazine department.,"6 has appeared. To read it, click on the Review tab.",1,0,0,0,0,0
865,Schwindet der starke Dollar dahin?,Is the strong dollar dwindling?,Whither the Strong Dollar?,1,0,0,0,0,0
866,"Keine Angst, da gehst du nicht unter...","Don't be afraid, you don't go under...",long as you find the Borzanka!...,0,0,0,0,0,0
867,"Um den Überwachungsaufwand der Mitgliedstaaten zu beschränken,","In order to limit the monitoring effort of Member States,",information to the public and prohibition on bathing.,1,0,0,0,0,0
868,Das ist es aber nicht.,It is not.,But it is not.,0,0,0,1,0,0
869,"""Das UTG trägt wesentlich zur Sicherung und zum Ausbau der regionalen Wertschöpfung in Augsburg, Schwaben und ganz Bayern bei.","""The UTG contributes significantly to securing and expanding regional value added in Augsburg, Schwaben and the whole of Bavaria.","This January, the seasonal increase in unemployment has proved to be less pronounced than in past years.",1,0,0,0,0,0
870,Erklärung der Europäischen Union,Statement by the European Union,Declaration by the European Union,1,0,0,0,0,0
871,Entschließung zur Flächenstillegung,Resolution on set-aside,Resolution on set-asides,1,0,0,0,0,0
872,Man muss hier die Kirche im Dorf lassen.,You have to leave the church in the village.,We need to keep a sense of proportion here.,1,0,0,0,0,0
873,Wo kann ich meine Daten ändern?,Where can I change my data?,Where can I change my data?,1,0,0,0,0,0
874,Wir alle sind gefordert.,We are all called for.,They are a challenge to us all.,1,0,0,0,0,0
875,Mit dem Branchen übergreifendem Programm bietet die bremer arbeit Verantwortungsträgern in Unternehmen ein spannendes und erfolgreiches Instrument für die Personalentwicklung an.,"With its cross-industry program, the brackers work in companies to provide an exciting and successful tool for human resource development.","With its inter-industry programme, whereby executives place their knowledge and experience at the disposal of men and women who will make up the next generation of managers, bremer arbeit offers those responsible for human resources in companies a stimulating and successful instrument for personnel development.",0,0,1,0,0,0
876,"In das Thema www.co.cc Check unsere Brüder - hierher gekommen, um kommentieren zu einem Papier Schrumpfschläuche .",In the theme www.co.cc check our brothers - come here to comment on a paper shrink hoses .,"In the theme of www.co.cc Check our brothers - came here to comment about a paper, heat shrinkable tubing .",1,0,0,0,0,0
877,Sie wird zu jeder nur möglichen Gelegenheit einer Leibesvisitation unterzogen.,It is subject to physical exploration at every possible opportunity.,She is strip-searched on every possible occasion.,0,0,0,0,0,0
878,Gemeinsames Schreiben von,Joint letter from,Joint letter of,1,0,0,0,0,0
879,"Aus, wenn Sie den richtigen Namen auf einen Namen in das Sponsoring und Mäzenatentum haben, sollten nicht 1.","From, if you have the right name on a name in sponsorship and patronage, should not 1.",Off if you have the right name on a name in the sponsorship and patronage should not 1.,1,0,0,0,0,0
880,Ich habe nicht zugenommen!,I have not increased!,I have not gained weight!,0,0,0,0,0,0
881,"Gemütliches After-Ballooning nach der Fahrt, mit alle Passagieren und Verfolgern ist kostenlos.","Cosy after-allooning after the journey, with all passengers and persecutors is free of charge.","Free social ""after ballooning"" for all people present at the landing spot.",1,0,0,0,0,0
882,"Die Aufgabe, vor der der IWF steht, ist gewaltig.",The task facing the IMF is enormous.,The task facing the IMF is formidable.,1,0,0,0,0,0
883,Betrifft: Politik für Generika,Subject: Generics policy,Subject: Policy on generic medicinal products,1,0,0,0,0,0
884,Aus dem Zimmer der Geschworenen dringen laute Wortgefechte.,There was no air conditioning in the room.,There is a lot of shouting in the jury room.,0,0,0,0,0,1
885,Durch ihr zahnfarbenes Erscheinungsbild wirken sie besonders exclusiv.,Their dental appearance makes them particularly exclusive.,Their tooth-colored appearance makes them very chic.,0,0,0,0,0,0
886,Das ist sehr gut.,That is very good.,This is excellent.,1,0,0,0,0,0
887,Aber die doppelte Kennzeichnung muß ja auch nicht unbedingt zur Verteuerung führen.,"However, double labelling does not necessarily have to make it more expensive.",But the double label does not necessarily have to raise prices.,1,0,0,0,0,0
888,Beseitigung der Gewalt gegen Frauen,Eliminating violence against women,The eradication of violence against women,1,0,0,0,0,0
889,In Italien ist die Standortsuche ausgesetzt.,"In Italy, locomotives are exposed.","In Italy, the search for suitable sites has been suspended.",0,0,0,0,0,0
890,"Außerdem muß dem Wohlbefinden der Beschäftigten auf den Offshore-Anlagen Rechnung getragen werden, auf denen es sehr eng ist.","In addition, the well-being of the offshore workers must be taken into account.","Consideration has also to be given to the welfare of employees on the oil platform, where there is very little space.",0,0,0,1,0,0
891,Arbeitsplan: siehe Protokoll,Order of business: see Minutes,Order of business: see Minutes,1,0,0,0,0,0
892,Europa zwischen Trump und Xi,Trump-Xi Europe,Europe Between Trump and Xi,0,0,0,0,0,0
893,Sie ebenso links im Vermieterbereich unter Hilfe .,You can also find the property on the left under Help .,also in the Renters Area under Help .,0,0,0,0,0,0
894,Ernennung zur Richterin auf Lebenszeit,Lifetime Judge appointed,23.4.1980 Life appointment as judge,1,0,0,0,0,0
895,Umfang der öffentlichen Entwicklungshilfe (ODA),Level of Official Development Assistance (ODA),Volume of official development aid (ODA),1,0,0,0,0,0
896,Das zeugt nicht von Mut.,This does not show courage.,That is not a brave thing to do.,1,0,0,0,0,0
897,"Aber sicherlich glauben Sie jetzt, daß es mir an gutem Willen fehlt.","I am sure, however, that you now believe that I do not have good will.",But you will doubtless think I am trying to cause trouble.,0,0,0,0,0,0
898,"Ergebnisse zu zeitigen und die europäische Wirtschaft wieder auf die Überholspur zu bringen"", so AdR-Präsident Peter Straub.",said CoR President Peter Straub.,"It's about delivering results and getting the EU economy back on track,"" CoR President Straub said.",0,0,0,1,1,0
899,"Verwenden Sie keine crack, keygen oder ähnliches Material: sie sind oft Systems veröffentlicht mit dem besonderen Zweck ""Angriff auf ein.","Do not crack, key or similar material: they are often published systems with the special purpose of ""attacking one.","Do not use crack, keygen or similar material: they are often released with the specific purpose of ""attacking a system.",1,0,0,0,0,0
900,Lassen Sie mich auf einige zentrale Punkte noch etwas näher eingehen:,Allow me to focus on a few key points:,I should now like to take a closer look at some of the central issues:,1,0,0,0,0,0
901,"Bildung, Wettbewerb, Innovation usw.) richtig zur Geltung kommt.","innovation, etc.).","training, competition, innovation, etc.",0,0,0,1,1,0
902,Ich bitte das zu entschuldigen!,I apologise for that.,Please excuse me.,1,0,0,0,0,0
903,"Sehr geehrte Abgeordnete, meine Damen und Herren,","Ladies and gentlemen,","Honourable Members, Ladies and Gentlemen,",0,0,0,1,0,0
904,Wann möchten Sie im Hilton Rotterdam übernachten?,When would you like to stay at the Hilton Rotterdam?,When would you like to stay at the Hilton Rotterdam?,1,0,0,0,0,0
905,"Eine Stornierung, die mehr als 3 Tage vor der Ankunft getδtigt wird, hat Anspruch auf die Erstattung der gesamten Reservierungsanzahlung.","If cancelled more than 3 days before arrival, the total amount of the reservation will be refunded.",A cancellation made more than 3 days prior to arrival is entitled to refund of the whole reservation deposit.,1,0,0,0,0,0
906,Das werden wir auch.,That is what we will do.,And so we shall be.,0,0,0,0,0,0
907,In diesem Rahmen schlaegt sie folgende Massnahmen vor:,"In this context, the Commission proposes the following measures:",In this context it proposes the following measures:,1,0,0,0,0,0
908,Mit anderen Eisenbahnern schleuste er im Ausland gedruckte Schriften nach Deutschland ein.,"With other railroads, he moved documents abroad to Germany.",abroad. With other railroadmen he channeled printed writings abroad to Germany.,0,0,0,0,0,0
909,Sehr ruhige Lage mit herrlicher Aussicht.,The location was excellent and the staff were friendly and helpful.,Quiet location with a superb view.,0,0,0,0,1,0
910,"Frau Präsidentin, meine Damen und Herren!","Madam President, ladies and gentlemen.","Madam President, ladies and gentlemen.",1,0,0,0,0,0
911,"Wer es schlichter mag, kommt auch auf seine Kosten.",Anyone who likes to be more straightforward will also have to pay for it.,"Who likes it simple, gets his or her money's worth as well.",0,0,0,0,0,0
912,Das externe Laufwerk ist nur das Sahnehäubchen auf i.,The external drive is only the cream juice on i.e.,The external drive is just the icing on i.,1,0,0,0,0,0
913,Was machst du so paatostogausi Regen ..,What do you do so paatostogausi rain ..,What are you in such paatostogausi rain ..,1,0,0,0,0,0
914,Virginija BŪDIENĖ Stellvertretende Ministerin für Bildung und Wissenschaft,Commissioner for Education and Science,Ms Virginija BŪDIENĖ Deputy Minister for Education and Science,0,0,0,1,1,0
915,Wie kann sich der Rat das erklären?,How can the Council explain this?,How can the Council explain this?,1,0,0,0,0,0
916,"Beabsichtigt die Europäische Kommission, langsam diesen neuen Kurs einzuschlagen?",Does the European Commission intend to take this new course slowly?,Does the Commission intend to follow this new course gradually?,1,0,0,0,0,0
917,Diese Schwerpunkte sind:,These priorities are:,The main emphasis will be on:,1,0,0,0,0,0
918,Beschreibung: Zweizimmerreihenhauser im Erdgeschoss+ ersten Stock gelegen.,Description: Located on the ground floor + first floor.,Description: Two-rooms row- houses at the ground floor + first floor.,0,0,0,1,0,0
919,In Qualität und Farbvielfalt nicht zu übertreffen.,"In terms of quality and variety of colours, we do not have to exceed this.",Unsurpassable quality and choice of colours.,1,0,0,0,0,0
920,Zum Schluss kotzt sie das Geld aus.,"Finally, it is spending the money.",At the end she throws up all the money.,0,0,0,0,0,0
921,Vielmehr dient sie der Forcierung und Intensivierung des Wettbewerbs.,"In fact, it is intended to encourage and intensify competition.","On the contrary, it serves to reinforce and intensify competition.",1,0,0,0,0,0
922,Mit Hilfe der Auswahlellipse auf der unteren Hälfte deaktivieren.,Disable the bottom half by using the drop-down loop.,Using the elliptical marquee tool to deselect the bottom half.,0,0,0,0,0,0
923,Auf dem folgenden Link findet ihr noch das Trespass Interview von Roger.,On the following link you will find Roger's Trespass interview.,it was a big highlight for us to play there again.,1,0,0,0,0,0
924,Informationen dazu finden Sie auf Website:,Information on the case will be available at:,Information can be found at the website:,0,0,0,0,0,0
